type,attack,health,cost
SPELL,,,1.0
SPELL,,,0.0
MINION,2.0,5.0,3.0
MINION,6.0,3.0,6.0
MINION,10.0,10.0,10.0
MINION,9.0,9.0,9.0
ENCHANTMENT,,,
HERO,,50.0,
ENCHANTMENT,,,
HERO_POWER,,,2.0
MINION,3.0,4.0,3.0
ENCHANTMENT,,,
HERO_POWER,,,0.0
HERO_POWER,,,2.0
ENCHANTMENT,,,
MINION,5.0,4.0,6.0
SPELL,,,0.0
SPELL,,,2.0
MINION,1.0,1.0,1.0
MINION,5.0,5.0,5.0
SPELL,,,4.0
MINION,7.0,7.0,4.0
HERO,,30.0,
SPELL,,,1.0
HERO,,30.0,
MINION,2.0,2.0,2.0
SPELL,,,6.0
HERO_POWER,,,2.0
MINION,7.0,6.0,5.0
MINION,1.0,3.0,2.0
MINION,17.0,17.0,10.0
SPELL,,,7.0
ENCHANTMENT,,,
SPELL,,,2.0
HERO_POWER,,,2.0
MINION,7.0,7.0,4.0
HERO_POWER,,,1.0
HERO_POWER,,,0.0
HERO_POWER,,,0.0
MINION,0.0,5.0,2.0
ENCHANTMENT,,,
SPELL,,,1.0
SPELL,,,2.0
ENCHANTMENT,,,
MINION,1.0,1.0,1.0
SPELL,,,0.0
HERO_POWER,,,1.0
HERO,,30.0,
HERO_POWER,,,2.0
SPELL,,,9.0
ENCHANTMENT,,,
ENCHANTMENT,,,
HERO,,45.0,
HERO,,30.0,
SPELL,,,2.0
HERO,,30.0,
ENCHANTMENT,,,
MINION,1.0,3.0,1.0
MINION,5.0,5.0,5.0
ENCHANTMENT,,,
MINION,3.0,4.0,3.0
MINION,3.0,3.0,5.0
ENCHANTMENT,,,
MINION,3.0,4.0,3.0
MINION,0.0,1.0,0.0
SPELL,,,0.0
SPELL,,,4.0
HERO_POWER,,,2.0
MINION,2.0,3.0,2.0
SPELL,,,10.0
ENCHANTMENT,,,
ENCHANTMENT,,,
MINION,3.0,4.0,5.0
ENCHANTMENT,,,
MINION,2.0,2.0,3.0
MINION,1.0,5.0,4.0
MINION,4.0,3.0,5.0
SPELL,,,5.0
HERO,,60.0,
SPELL,,,2.0
MINION,3.0,6.0,4.0
HERO_POWER,,,2.0
SPELL,,,2.0
ENCHANTMENT,,,
HERO_POWER,,,1.0
ENCHANTMENT,,,
MINION,1.0,1.0,2.0
SPELL,,,0.0
ENCHANTMENT,,,
ENCHANTMENT,,,
MINION,4.0,7.0,5.0
MINION,1.0,1.0,0.0
ENCHANTMENT,,,
MINION,5.0,7.0,6.0
SPELL,,,1.0
MINION,2.0,2.0,3.0
SPELL,,,3.0
MINION,5.0,5.0,7.0
HERO,,30.0,
SPELL,,,1.0
HERO_POWER,,,2.0
MINION,2.0,2.0,2.0
MINION,6.0,6.0,8.0
MINION,4.0,6.0,5.0
MINION,3.0,3.0,3.0
WEAPON,2.0,,2.0
HERO,,100.0,
ENCHANTMENT,,,
WEAPON,2.0,,3.0
WEAPON,1.0,,3.0
ENCHANTMENT,,,
MINION,2.0,6.0,4.0
MINION,2.0,1.0,1.0
ENCHANTMENT,,,
SPELL,,,0.0
MINION,6.0,6.0,6.0
ENCHANTMENT,,,
MINION,5.0,5.0,5.0
SPELL,,,0.0
MINION,6.0,6.0,6.0
ENCHANTMENT,,,
SPELL,,,1.0
MINION,1.0,1.0,3.0
MINION,5.0,2.0,6.0
MINION,2.0,6.0,3.0
HERO,,30.0,
MINION,11.0,11.0,10.0
SPELL,,,4.0
MINION,3.0,4.0,4.0
ENCHANTMENT,,,
MINION,1.0,1.0,1.0
MINION,4.0,4.0,4.0
SPELL,,,5.0
SPELL,,,0.0
MINION,1.0,1.0,4.0
MINION,2.0,2.0,2.0
MINION,6.0,6.0,7.0
HERO,,10.0,
SPELL,,,3.0
ENCHANTMENT,,,
SPELL,,,0.0
ENCHANTMENT,,,
MINION,1.0,3.0,1.0
MINION,4.0,6.0,5.0
MINION,3.0,5.0,4.0
MINION,6.0,6.0,2.0
MINION,2.0,1.0,1.0
SPELL,,,0.0
ENCHANTMENT,,,
SPELL,,,0.0
MINION,4.0,4.0,6.0
ENCHANTMENT,,,
HERO_POWER,,,0.0
SPELL,,,2.0
MINION,1.0,5.0,5.0
MINION,7.0,5.0,0.0
MINION,2.0,3.0,3.0
HERO_POWER,,,2.0
MINION,3.0,4.0,3.0
ENCHANTMENT,,,
MINION,2.0,1.0,3.0
SPELL,,,0.0
MINION,1.0,2.0,1.0
MINION,3.0,3.0,3.0
SPELL,,,4.0
HERO_POWER,,,2.0
MINION,5.0,5.0,5.0
MINION,1.0,1.0,1.0
ENCHANTMENT,,,
MINION,2.0,2.0,3.0
SPELL,,,0.0
ENCHANTMENT,,,
ENCHANTMENT,,,
SPELL,,,0.0
SPELL,,,5.0
MINION,3.0,3.0,4.0
HERO_POWER,,,0.0
ENCHANTMENT,,,
SPELL,,,0.0
MINION,1.0,1.0,1.0
HERO,,0.0,
SPELL,,,0.0
SPELL,,,3.0
MINION,4.0,8.0,6.0
SPELL,,,3.0
ENCHANTMENT,,,
HERO,,45.0,
SPELL,,,5.0
MINION,8.0,8.0,9.0
MINION,1.0,1.0,1.0
MINION,0.0,3.0,1.0
MINION,7.0,5.0,10.0
SPELL,,,3.0
SPELL,,,2.0
MINION,1.0,2.0,1.0
SPELL,,,0.0
WEAPON,2.0,,5.0
MINION,3.0,4.0,3.0
MINION,2.0,5.0,5.0
MINION,4.0,4.0,4.0
SPELL,,,1.0
MINION,5.0,5.0,6.0
ENCHANTMENT,,,
ENCHANTMENT,,,
ENCHANTMENT,,,
MINION,8.0,8.0,12.0
MINION,4.0,4.0,4.0
SPELL,,,3.0
SPELL,,,2.0
MINION,0.0,4.0,3.0
SPELL,,,0.0
SPELL,,,1.0
MINION,0.0,6.0,5.0
MINION,3.0,4.0,4.0
MINION,3.0,1.0,2.0
MINION,1.0,1.0,1.0
HERO_POWER,,,2.0
MINION,3.0,4.0,3.0
ENCHANTMENT,,,
MINION,3.0,3.0,3.0
MINION,3.0,7.0,5.0
HERO_POWER,,,0.0
ENCHANTMENT,,,
ENCHANTMENT,,,
HERO_POWER,,,0.0
MINION,2.0,1.0,1.0
MINION,5.0,5.0,5.0
MINION,1.0,4.0,3.0
MINION,1.0,2.0,2.0
SPELL,,,0.0
MINION,0.0,4.0,1.0
MINION,7.0,8.0,9.0
ENCHANTMENT,,,
MINION,3.0,2.0,2.0
SPELL,,,3.0
MINION,4.0,2.0,5.0
ENCHANTMENT,,,
ENCHANTMENT,,,
ENCHANTMENT,,,
HERO,,14.0,
HERO_POWER,,,0.0
HERO,,30.0,
SPELL,,,10.0
MINION,5.0,5.0,6.0
MINION,3.0,5.0,4.0
MINION,4.0,3.0,4.0
SPELL,,,3.0
MINION,10.0,10.0,10.0
SPELL,,,3.0
SPELL,,,0.0
MINION,2.0,2.0,2.0
HERO_POWER,,,2.0
MINION,4.0,3.0,2.0
ENCHANTMENT,,,
MINION,3.0,4.0,3.0
HERO_POWER,,,0.0
ENCHANTMENT,,,
ENCHANTMENT,,,
HERO,,20.0,
MINION,5.0,4.0,9.0
MINION,7.0,8.0,5.0
MINION,2.0,2.0,1.0
SPELL,,,0.0
MINION,0.0,5.0,2.0
MINION,1.0,1.0,1.0
MINION,7.0,7.0,7.0
HERO_POWER,,,2.0
SPELL,,,2.0
MINION,4.0,2.0,3.0
ENCHANTMENT,,,
MINION,5.0,4.0,5.0
MINION,1.0,3.0,2.0
SPELL,,,0.0
HERO_POWER,,,4.0
ENCHANTMENT,,,
ENCHANTMENT,,,
HERO_POWER,,,2.0
SPELL,,,0.0
SPELL,,,1.0
HERO,,30.0,
MINION,4.0,4.0,4.0
SPELL,,,0.0
MINION,2.0,3.0,2.0
MINION,3.0,3.0,5.0
MINION,1.0,1.0,0.0
SPELL,,,0.0
ENCHANTMENT,,,
SPELL,,,6.0
ENCHANTMENT,,,
HERO_POWER,,,0.0
WEAPON,1.0,,1.0
MINION,4.0,5.0,5.0
MINION,2.0,5.0,4.0
WEAPON,2.0,,2.0
HERO_POWER,,,0.0
SPELL,,,4.0
MINION,4.0,8.0,5.0
HERO_POWER,,,2.0
MINION,2.0,2.0,2.0
SPELL,,,4.0
MINION,2.0,2.0,3.0
ENCHANTMENT,,,
MINION,1.0,80.0,10.0
SPELL,,,1.0
MINION,3.0,1.0,1.0
WEAPON,2.0,,2.0
ENCHANTMENT,,,
MINION,0.0,2.0,0.0
MINION,3.0,3.0,3.0
SPELL,,,0.0
HERO_POWER,,,2.0
WEAPON,2.0,,1.0
MINION,1.0,2.0,1.0
HERO_POWER,,,2.0
ENCHANTMENT,,,
MINION,3.0,3.0,4.0
SPELL,,,3.0
ENCHANTMENT,,,
MINION,3.0,7.0,3.0
SPELL,,,3.0
HERO_POWER,,,0.0
SPELL,,,10.0
MINION,5.0,6.0,6.0
ENCHANTMENT,,,
ENCHANTMENT,,,
SPELL,,,2.0
HERO,,30.0,
ENCHANTMENT,,,
ENCHANTMENT,,,
WEAPON,1.0,,3.0
SPELL,,,0.0
ENCHANTMENT,,,
MINION,2.0,2.0,3.0
SPELL,,,0.0
MINION,2.0,1.0,1.0
HERO,,30.0,
SPELL,,,0.0
MINION,5.0,7.0,6.0
WEAPON,3.0,,3.0
HERO_POWER,,,2.0
MINION,1.0,1.0,1.0
MINION,1.0,1.0,1.0
SPELL,,,6.0
ENCHANTMENT,,,
ENCHANTMENT,,,
SPELL,,,2.0
SPELL,,,3.0
MINION,1.0,5.0,3.0
MINION,6.0,8.0,7.0
SPELL,,,1.0
ENCHANTMENT,,,
HERO,,30.0,
MINION,5.0,5.0,5.0
MINION,8.0,8.0,9.0
MINION,7.0,7.0,8.0
SPELL,,,1.0
HERO,,30.0,
MINION,14.0,14.0,10.0
SPELL,,,1.0
MINION,2.0,2.0,5.0
MINION,1.0,2.0,2.0
MINION,5.0,5.0,5.0
MINION,3.0,2.0,4.0
MINION,2.0,5.0,4.0
MINION,2.0,1.0,1.0
HERO_POWER,,,2.0
SPELL,,,10.0
MINION,4.0,5.0,6.0
MINION,5.0,4.0,6.0
SPELL,,,2.0
MINION,0.0,10.0,4.0
WEAPON,7.0,,7.0
MINION,0.0,2.0,0.0
SPELL,,,0.0
MINION,7.0,7.0,8.0
SPELL,,,4.0
ENCHANTMENT,,,
MINION,1.0,2.0,1.0
MINION,0.0,4.0,4.0
MINION,5.0,7.0,6.0
HERO_POWER,,,6.0
MINION,5.0,3.0,4.0
WEAPON,5.0,,5.0
MINION,1.0,1.0,0.0
HERO,,30.0,
MINION,2.0,2.0,2.0
SPELL,,,1.0
SPELL,,,10.0
MINION,10.0,10.0,10.0
MINION,2.0,3.0,2.0
MINION,2.0,2.0,2.0
SPELL,,,3.0
MINION,4.0,3.0,4.0
MINION,2.0,3.0,3.0
SPELL,,,3.0
MINION,3.0,2.0,1.0
HERO_POWER,,,5.0
WEAPON,1.0,,1.0
ENCHANTMENT,,,
MINION,3.0,4.0,3.0
HERO_POWER,,,2.0
SPELL,,,0.0
MINION,1.0,2.0,2.0
SPELL,,,0.0
MINION,1.0,7.0,3.0
MINION,5.0,5.0,3.0
MINION,2.0,1.0,1.0
ENCHANTMENT,,,
MINION,3.0,2.0,3.0
ENCHANTMENT,,,
ENCHANTMENT,,,
MINION,1.0,1.0,1.0
MINION,3.0,6.0,5.0
MINION,4.0,3.0,3.0
SPELL,,,4.0
MINION,1.0,4.0,2.0
MINION,1.0,2.0,1.0
ENCHANTMENT,,,
ENCHANTMENT,,,
ENCHANTMENT,,,
SPELL,,,1.0
SPELL,,,3.0
SPELL,,,2.0
MINION,2.0,2.0,3.0
MINION,2.0,4.0,3.0
MINION,2.0,2.0,0.0
MINION,5.0,4.0,4.0
WEAPON,2.0,,4.0
SPELL,,,1.0
ENCHANTMENT,,,
SPELL,,,3.0
WEAPON,2.0,,3.0
MINION,5.0,5.0,6.0
MINION,3.0,2.0,5.0
MINION,2.0,4.0,3.0
SPELL,,,0.0
MINION,0.0,3.0,3.0
MINION,7.0,5.0,4.0
SPELL,,,3.0
MINION,2.0,2.0,5.0
HERO,,30.0,
WEAPON,1.0,,1.0
ENCHANTMENT,,,
MINION,6.0,6.0,6.0
MINION,1.0,2.0,1.0
MINION,5.0,6.0,4.0
SPELL,,,1.0
MINION,3.0,3.0,3.0
MINION,5.0,5.0,3.0
MINION,0.0,2.0,0.0
MINION,4.0,4.0,3.0
ENCHANTMENT,,,
SPELL,,,0.0
MINION,2.0,5.0,3.0
MINION,5.0,4.0,5.0
SPELL,,,3.0
MINION,3.0,4.0,4.0
SPELL,,,7.0
MINION,3.0,3.0,3.0
MINION,6.0,6.0,6.0
SPELL,,,1.0
MINION,6.0,5.0,6.0
MINION,10.0,10.0,10.0
MINION,1.0,6.0,3.0
SPELL,,,1.0
MINION,3.0,2.0,3.0
MINION,4.0,4.0,5.0
MINION,4.0,5.0,2.0
MINION,3.0,6.0,5.0
MINION,3.0,3.0,3.0
SPELL,,,0.0
SPELL,,,2.0
ENCHANTMENT,,,
ENCHANTMENT,,,
SPELL,,,2.0
ENCHANTMENT,,,
MINION,6.0,8.0,7.0
SPELL,,,4.0
MINION,7.0,7.0,7.0
SPELL,,,3.0
HERO_POWER,,,0.0
MINION,2.0,2.0,3.0
SPELL,,,0.0
MINION,2.0,4.0,3.0
MINION,1.0,1.0,4.0
HERO,,30.0,
MINION,1.0,1.0,1.0
MINION,4.0,4.0,5.0
HERO_POWER,,,0.0
SPELL,,,1.0
SPELL,,,8.0
ENCHANTMENT,,,
MINION,4.0,4.0,4.0
MINION,4.0,4.0,4.0
MINION,4.0,3.0,4.0
MINION,1.0,1.0,1.0
SPELL,,,0.0
ENCHANTMENT,,,
SPELL,,,0.0
MINION,7.0,7.0,4.0
MINION,4.0,6.0,5.0
MINION,3.0,2.0,2.0
SPELL,,,0.0
MINION,3.0,5.0,4.0
MINION,25.0,25.0,10.0
MINION,10.0,3.0,7.0
HERO_POWER,,,0.0
HERO,,20.0,
ENCHANTMENT,,,
MINION,5.0,4.0,4.0
SPELL,,,0.0
HERO,,60.0,
MINION,2.0,2.0,3.0
SPELL,,,0.0
HERO,,30.0,
SPELL,,,0.0
SPELL,,,1.0
MINION,2.0,4.0,4.0
WEAPON,2.0,,2.0
ENCHANTMENT,,,
HERO_POWER,,,0.0
MINION,4.0,4.0,4.0
WEAPON,1.0,,1.0
MINION,4.0,5.0,4.0
ENCHANTMENT,,,
SPELL,,,3.0
SPELL,,,5.0
MINION,4.0,2.0,3.0
ENCHANTMENT,,,
SPELL,,,4.0
HERO,,30.0,
MINION,1.0,1.0,1.0
SPELL,,,1.0
HERO_POWER,,,0.0
MINION,3.0,3.0,4.0
MINION,6.0,9.0,8.0
MINION,1.0,1.0,0.0
HERO,,30.0,
HERO_POWER,,,2.0
ENCHANTMENT,,,
SPELL,,,3.0
ENCHANTMENT,,,
ENCHANTMENT,,,
MINION,2.0,2.0,2.0
SPELL,,,4.0
HERO,,30.0,
MINION,3.0,5.0,4.0
MINION,2.0,6.0,4.0
MINION,4.0,2.0,4.0
ENCHANTMENT,,,
HERO_POWER,,,0.0
SPELL,,,1.0
SPELL,,,3.0
MINION,2.0,1.0,1.0
MINION,0.0,2.0,0.0
SPELL,,,2.0
ENCHANTMENT,,,
ENCHANTMENT,,,
MINION,16.0,16.0,10.0
MINION,1.0,2.0,1.0
ENCHANTMENT,,,
MINION,6.0,6.0,6.0
HERO,,30.0,
SPELL,,,4.0
WEAPON,1.0,,4.0
MINION,1.0,4.0,4.0
MINION,3.0,6.0,6.0
MINION,5.0,6.0,4.0
MINION,3.0,6.0,3.0
SPELL,,,5.0
MINION,1.0,1.0,1.0
MINION,2.0,3.0,3.0
MINION,2.0,2.0,1.0
SPELL,,,0.0
SPELL,,,0.0
ENCHANTMENT,,,
ENCHANTMENT,,,
MINION,1.0,1.0,1.0
MINION,5.0,2.0,3.0
ENCHANTMENT,,,
SPELL,,,1.0
SPELL,,,2.0
MINION,2.0,4.0,4.0
HERO_POWER,,,0.0
MINION,4.0,4.0,3.0
SPELL,,,0.0
HERO_POWER,,,6.0
MINION,5.0,5.0,3.0
SPELL,,,1.0
ENCHANTMENT,,,
MINION,4.0,6.0,7.0
SPELL,,,2.0
MINION,5.0,5.0,6.0
MINION,4.0,4.0,5.0
WEAPON,2.0,,5.0
ENCHANTMENT,,,
HERO_POWER,,,0.0
MINION,2.0,6.0,4.0
SPELL,,,3.0
ENCHANTMENT,,,
HERO,,30.0,
HERO_POWER,,,2.0
MINION,5.0,4.0,4.0
ENCHANTMENT,,,
MINION,2.0,2.0,1.0
MINION,2.0,1.0,1.0
MINION,1.0,3.0,2.0
MINION,7.0,7.0,7.0
SPELL,,,4.0
ENCHANTMENT,,,
MINION,5.0,9.0,8.0
SPELL,,,4.0
MINION,4.0,5.0,5.0
ENCHANTMENT,,,
WEAPON,1.0,,3.0
MINION,5.0,6.0,5.0
HERO,,15.0,
SPELL,,,3.0
MINION,1.0,1.0,2.0
MINION,5.0,4.0,4.0
MINION,6.0,3.0,3.0
MINION,4.0,2.0,3.0
MINION,3.0,1.0,3.0
WEAPON,1.0,,1.0
MINION,5.0,5.0,3.0
SPELL,,,0.0
MINION,5.0,5.0,7.0
ENCHANTMENT,,,
ENCHANTMENT,,,
MINION,7.0,2.0,4.0
MINION,21.0,21.0,10.0
SPELL,,,0.0
HERO,,30.0,
ENCHANTMENT,,,
MINION,2.0,4.0,3.0
SPELL,,,5.0
ENCHANTMENT,,,
SPELL,,,2.0
SPELL,,,1.0
ENCHANTMENT,,,
SPELL,,,0.0
MINION,3.0,2.0,2.0
MINION,6.0,6.0,6.0
SPELL,,,0.0
HERO_POWER,,,2.0
SPELL,,,0.0
ENCHANTMENT,,,
MINION,1.0,1.0,0.0
MINION,2.0,4.0,7.0
HERO_POWER,,,2.0
MINION,3.0,3.0,3.0
ENCHANTMENT,,,
MINION,1.0,1.0,6.0
HERO,,80.0,
SPELL,,,1.0
MINION,1.0,3.0,1.0
SPELL,,,3.0
MINION,1.0,1.0,1.0
SPELL,,,0.0
MINION,6.0,6.0,6.0
MINION,3.0,3.0,4.0
SPELL,,,1.0
MINION,0.0,2.0,1.0
MINION,4.0,3.0,3.0
HERO_POWER,,,0.0
SPELL,,,0.0
HERO,,30.0,
ENCHANTMENT,,,
MINION,0.0,3.0,2.0
MINION,3.0,3.0,4.0
ENCHANTMENT,,,
SPELL,,,0.0
SPELL,,,0.0
MINION,1.0,5.0,3.0
MINION,7.0,7.0,5.0
ENCHANTMENT,,,
ENCHANTMENT,,,
MINION,4.0,4.0,5.0
SPELL,,,1.0
HERO_POWER,,,0.0
HERO_POWER,,,2.0
MINION,2.0,6.0,5.0
MINION,4.0,4.0,5.0
MINION,4.0,4.0,5.0
HERO,,25.0,
MINION,1.0,3.0,1.0
MINION,3.0,7.0,7.0
MINION,2.0,3.0,2.0
SPELL,,,0.0
HERO_POWER,,,1.0
SPELL,,,0.0
MINION,4.0,8.0,6.0
SPELL,,,0.0
MINION,7.0,6.0,6.0
SPELL,,,6.0
HERO_POWER,,,0.0
MINION,2.0,8.0,3.0
MINION,4.0,6.0,7.0
MINION,4.0,4.0,6.0
ENCHANTMENT,,,
SPELL,,,1.0
MINION,2.0,6.0,2.0
MINION,3.0,3.0,3.0
MINION,0.0,6.0,1.0
SPELL,,,0.0
MINION,3.0,2.0,3.0
MINION,3.0,3.0,3.0
MINION,4.0,5.0,6.0
HERO_POWER,,,1.0
MINION,0.0,4.0,1.0
HERO,,30.0,
SPELL,,,0.0
HERO,,30.0,
SPELL,,,2.0
MINION,6.0,5.0,7.0
WEAPON,5.0,,7.0
